Model,Image,Has_Lesion,Dice,IoU,Precision,Recall,GT_Lesion_Pixels,Pred_Lesion_Pixels,IRF_Dice,IRF_IoU,IRF_Precision,IRF_Recall,SRF_Dice,SRF_IoU,SRF_Precision,SRF_Recall,PED_Dice,PED_IoU,PED_Precision,PED_Recall
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice026.png,1,0.8370527632039684,0.7332900701464544,0.7993764925065876,0.879554979772811,6364,7138,0.7343367168358418,0.5801991150442478,0.6829427083333334,0.7940953822861468,0.939768809572095,0.886381025248661,0.9158102766798419,0.9650145772594753,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice027.png,1,0.8316390174981552,0.7290520162920127,0.7951870005671574,0.8756535977330264,6436,7352,0.7149321266968326,0.5563380281690141,0.6487681617182565,0.796124031007752,0.9483459082994776,0.9017660044150111,0.9416058394160584,0.9551831644583009,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice030.png,1,0.7648605884978303,0.6434779963050128,0.7434215525301213,0.7884937489622739,3934,4194,0.614895870102365,0.4439347604485219,0.6146788990825688,0.6151129943502824,0.9148253068932956,0.8430212321615037,0.8721642059776737,0.9618745035742653,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice031.png,1,0.792682612398298,0.6697479451151724,0.7621814776826128,0.8258367494031262,4144,4487,0.6854076156401738,0.5213841368584758,0.6648487853247397,0.7072784810126582,0.8999576091564222,0.818111753371869,0.8595141700404858,0.9443950177935944,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice033.png,1,0.7647056320208757,0.6456379093232594,0.8182316499780267,0.727652109483961,3115,2826,0.6076810889645115,0.43645251396648044,0.7250580046403712,0.5230125523012552,0.92173017507724,0.8548233046800382,0.9114052953156823,0.9322916666666666,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice034.png,1,0.5925920272004996,0.48957474084466657,0.7199676650929199,0.5732364843295213,2423,2117,0.29073170731707315,0.17009132420091325,0.5983935742971888,0.19201030927835053,0.8944523470839261,0.8090581574884199,0.841541755888651,0.9544626593806922,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice035.png,1,0.5473043502465774,0.4168466885666378,0.6203706660905342,0.4977692337051612,2093,1666,0.3029259896729776,0.17849898580121704,0.40835266821345706,0.24076607387140903,0.7916827108201772,0.6551943913320586,0.8323886639676114,0.7547723935389133,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice037.png,1,0.3884376493072145,0.317578125,0.4195046439628483,0.36165480427046265,1463,969,0.0,0.0,0.0,0.0,0.776875298614429,0.63515625,0.8390092879256966,0.7233096085409253,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice038.png,1,0.6026054690650964,0.44062370062370065,0.8700958331127231,0.46300940438871474,1508,778,0.4897959183673469,0.32432432432432434,0.7722772277227723,0.3586206896551724,0.7154150197628458,0.556923076923077,0.9679144385026738,0.567398119122257,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice039.png,1,0.6566610416707546,0.4929959618648842,0.7125284905521653,0.6273151083654898,1435,1543,0.585679806918745,0.4141069397042093,0.5432835820895522,0.6352530541012217,0.7276422764227642,0.5718849840255591,0.8817733990147784,0.6193771626297578,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice040.png,1,0.40983228290393187,0.2817129678831807,0.6017840895605048,0.377401334297886,1517,1504,0.6273568735001714,0.45704295704295705,0.6153328850033625,0.6398601398601399,0.19230769230769232,0.10638297872340426,0.5882352941176471,0.11494252873563218,,,,
